Date_VRSN,Open_VRSN,High_VRSN,Low_VRSN,Close_VRSN,Adj Close_VRSN,Volume_VRSN,Daily Return(%)_VRSN,Vol5_VRSN,Vol10_VRSN,Vol20_VRSN,Vol60_VRSN,SMA5_VRSN,SMA10_VRSN,SMA30_VRSN,SMA60_VRSN,SMA100_VRSN,EMA5_VRSN,EMA10_VRSN,EMA30_VRSN,EMA60_VRSN,EMA100_VRSN,Short12_VRSN,Long26_VRSN,MACD_VRSN,SIGNAL9_VRSN,Ret5/10_VRSN,Ret10/30_VRSN,Ret30/60_VRSN,Ret30/100_VRSN,Emaret5/10_VRSN,Emaret10/30_VRSN,Emaret30/60_VRSN,Emaret30/100_VRSN,RetMACD_VRSN,DayRange_VRSN,average20r_VRSN,PRVHI_VRSN,HitLevel_VRSN,hitlevel_2_VRSN,hitlevel_1.8_VRSN
2011-01-03,32.9900016784668,33.47000122070312,32.93000030517578,33.40999984741211,30.87264823913574,3295600,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.6699981689453196,,,2.2,2.0,1.8
2011-01-04,33.59999847412109,33.63999938964844,32.97000122070312,33.20000076293945,30.67859840393066,2285800,-0.6285515876436691,,,,,,,,,,,,,,,,,,,0.08144946266951046,0.1369273818195002,-0.2875775027273033,0.08927067585456346,0.2545060400651858,0.1066841412980163,0.1115180327384218,-0.2908045071556677,0.001459880561056723,0.5599975585937642,,,,,
2011-01-05,33.09000015258789,33.52999877929688,32.97000122070312,33.4900016784668,30.94657516479492,2142100,0.8734967134430502,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5999984741210938,,,,,
2011-01-06,33.43999862670898,33.93000030517578,33.33000183105469,33.7599983215332,31.19606590270996,1643800,0.8062007451018048,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8400001525878906,,,,,
2011-01-07,33.84999847412109,33.88000106811523,33.04000091552734,33.34000015258789,30.8079662322998,1691000,-1.244070467495919,,,,,33.44000015258789,,,,,33.44000015258789,,,,,,,,,,,,,,,,,,0.7999992370605398,,,,,
2011-01-10,32.86000061035156,33.11000061035156,32.31000137329102,32.90999984741211,30.41062164306641,3764300,-1.289742961031163,1.069990755154638,,,,33.34000015258789,,,,,33.26333338419597,,,,,,,,,,,,,,,,,,0.5400009155273438,,,,,
2011-01-11,33.20000076293945,33.20000076293945,32.65999984741211,32.77000045776367,30.2812557220459,3361800,-0.4254007605516485,1.058021452731248,,,,33.25400009155273,,,,,33.0988890753852,,,,,,,,,,,,,,,,,,0.5,,,,,
2011-01-12,32.90000152587891,32.91999816894531,32.41999816894531,32.54000091552734,30.06872367858887,2338100,-0.7018600519483518,0.852147387351389,,,,33.06399993896484,,,,,32.91259302209924,,,,,,,,,,,,,,,,,,0.25,,,,,
2011-01-13,32.43999862670898,32.68999862670898,32.43999862670898,32.56999969482422,30.09644317626953,1416600,0.09219046850907549,0.5800505105935303,,,,32.82600021362305,,,,,32.7983952463409,,,,,,,,,,,,,,,,,,0.7299995422363352,,,,,
2011-01-14,32.61000061035156,33.20999908447266,32.47999954223633,33.15000152587891,30.63239669799805,2320200,1.780785497357141,1.16806603667207,,,,32.78800048828125,33.11400032043457,,,,32.91559733952025,33.11400032043457,,,,,,,,-0.3619877114970267,0.3619877114970267,0.0,0.0,-0.3619877114970267,-0.3619877114970267,0.3619877114970267,0.0,0.0,0.4499969482421946,,,,,
