Date_PANW,Open_PANW,High_PANW,Low_PANW,Close_PANW,Adj Close_PANW,Volume_PANW,Daily Return(%)_PANW,Vol5_PANW,Vol10_PANW,Vol20_PANW,Vol60_PANW,SMA5_PANW,SMA10_PANW,SMA30_PANW,SMA60_PANW,SMA100_PANW,EMA5_PANW,EMA10_PANW,EMA30_PANW,EMA60_PANW,EMA100_PANW,Short12_PANW,Long26_PANW,MACD_PANW,SIGNAL9_PANW,Ret5/10_PANW,Ret10/30_PANW,Ret30/60_PANW,Ret30/100_PANW,Emaret5/10_PANW,Emaret10/30_PANW,Emaret30/60_PANW,Emaret30/100_PANW,RetMACD_PANW,DayRange_PANW,average20r_PANW,PRVHI_PANW,HitLevel_PANW,hitlevel_2_PANW,hitlevel_1.8_PANW
2012-07-20,18.38333320617676,20.69000053405762,17.70000076293945,17.70999908447266,17.70999908447266,21048300,,,,,,,,,,,0.3333333333333333,0.1818181818181818,0.06451612903225806,0.03278688524590164,0.0198019801980198,0.1538461538461539,0.07407407407407407,,0.2,,,,,,,,,,0.9666671752929688,,,2.2,2.0,1.8
2012-07-23,17.53333282470703,18.0,17.03333282470703,17.17000007629395,17.17000007629395,2365200,-3.049119345534908,,,,,,,,,,,,,,,,,,,-0.3616668898698235,0.0007937208444091524,-0.01417299941696042,-0.1386607901499205,-0.0006149641729351831,-0.2095372292060163,0.0204906871988373,-0.1616374651249119,0.132269407324787,1.49333572387695,,,,,
2012-07-24,17.33333206176758,18.66666793823242,17.17333221435547,18.5,18.5,2150400,7.746068245755794,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.233335494995117,,,,,
2012-07-25,18.83333206176758,19.66666793823242,18.4333324432373,19.64999961853027,19.64999961853027,1799100,6.216214154217675,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25666618347168,,,,,
2012-07-26,19.92666625976562,20.61666679382324,19.36000061035156,19.95999908447266,19.95999908447266,1283400,1.577605455269604,,,,,18.59799957275391,,,,,18.59799957275391,,,,,,,,,,,,,,,,,,1.293333053588871,,,,,
2012-07-27,20.29333305358887,20.29333305358887,19.0,19.0,19.0,460200,-4.809614872274544,5.517273566129528,,,,18.85599975585938,,,,,18.73199971516927,,,,,,,,,,,,,,,,,,0.9799995422363317,,,,,
2012-07-30,18.95333290100098,18.95333290100098,17.97333335876465,18.33333206176758,18.33333206176758,829200,-3.508778622275885,5.61572918530934,,,,19.0886661529541,,,,,18.59911049736871,,,,,,,,,,,,,,,,,,1.64333343505859,,,,,
2012-07-31,18.33333206176758,19.04666709899902,17.40333366394043,19.04666709899902,19.04666709899902,856200,3.890918654765603,4.72881783799185,,,,19.19799957275391,,,,,18.74829603124548,,,,,,,,,,,,,,,,,,1.193334579467777,,,,,
2012-08-01,19.57333374023438,19.57333374023438,18.3799991607666,18.7266674041748,18.7266674041748,332700,-1.680082363811756,3.598284097003782,,,,19.01333312988281,,,,,18.74108648888859,,,,,,,,,,,,,,,,,,2.24333381652832,,,,,
2012-08-02,18.55999946594238,20.0,17.75666618347168,18.36666679382324,18.36666679382324,498000,-1.922395493985792,3.324357973246631,,,,18.69466667175293,18.64633312225342,,,,18.61627992386681,18.64633312225342,,,,,,,,-0.5626193802058352,-0.5626193802058352,0.0,0.0,0.5626193802058352,0.5626193802058352,-0.5626193802058352,0.0,0.0,0.8833351135253871,,,,,
2012-08-03,18.88333320617676,18.96666717529297,18.08333206176758,18.26333236694336,18.26333236694336,872700,-0.5626193802058352,2.802830895089153,4.298930852379329,,,18.5473331451416,18.70166645050049,,,,18.49863073822566,18.57669662128795,,,,,,,,0.01824496206152967,-0.01824496206152967,0.0,0.0,0.01824496206152967,0.01824496206152967,-0.01824496206152967,0.0,0.0,0.7466659545898509,,,,,
2012-08-06,18.5666675567627,18.63999938964844,17.89333343505859,18.26000022888184,18.26000022888184,468900,-0.01824496206152967,2.342930872974376,4.133183514259048,,,18.53266677856445,18.81066646575928,,,,18.41908723511105,18.51911545903229,,,,18.58222198486328,,,,-3.687471007204327,3.687471007204327,0.0,0.0,-3.687471007204327,-3.687471007204327,3.687471007204327,0.0,0.0,0.9733352661132812,,,,,
