Date_AMAT,Open_AMAT,High_AMAT,Low_AMAT,Close_AMAT,Adj Close_AMAT,Volume_AMAT,Daily Return(%)_AMAT,Vol5_AMAT,Vol10_AMAT,Vol20_AMAT,Vol60_AMAT,SMA5_AMAT,SMA10_AMAT,SMA30_AMAT,SMA60_AMAT,SMA100_AMAT,EMA5_AMAT,EMA10_AMAT,EMA30_AMAT,EMA60_AMAT,EMA100_AMAT,Short12_AMAT,Long26_AMAT,MACD_AMAT,SIGNAL9_AMAT,Ret5/10_AMAT,Ret10/30_AMAT,Ret30/60_AMAT,Ret30/100_AMAT,Emaret5/10_AMAT,Emaret10/30_AMAT,Emaret30/60_AMAT,Emaret30/100_AMAT,RetMACD_AMAT,DayRange_AMAT,average20r_AMAT,PRVHI_AMAT,HitLevel_AMAT,hitlevel_2_AMAT,hitlevel_1.8_AMAT,Hit?_AMAT,Hit?_AMAT.1,Hit?_AMAT.2,HitAt_2.2_AMAT,HitAt_2.0_AMAT,HitAt_1.8_AMAT,ExitPr_2.2_AMAT,ExitPr_2.0_AMAT,ExitPr_1.8_AMAT,ret_2.2_AMAT,Ret2.0_AMAT,Ret_1.8_AMAT
2011-01-03,14.13000011444092,14.28999996185303,14.01000022888184,14.0600004196167,11.50205135345459,10943700,,,,,,,,,,,0.3333333333333333,0.18181818181818182,0.06451612903225806,0.03278688524590164,0.019801980198019802,0.15384615384615385,0.07407407407407407,,0.2,,,,,,,,,,0.19000053405762074,,,2.2,2.0,1.8,,,,,,,,,,,,
2011-01-04,14.0600004196167,14.10000038146973,13.90999984741211,13.97000026702881,11.42842388153076,16518700,-0.6401148641668561,,,,,,,,,,,,,,,,,,,-0.37435198722955376,-0.03300314236893119,0.24721381862819872,0.26446494197729103,-0.45387409921670074,0.11639285652652845,0.1316641603226213,0.4346803563257814,0.13740610106510606,0.2100000381469691,,,,,,206.0,310.0,430.0,,,,,,,-0.0319097180792998,0.3438580692029778,0.34001208854044723
2011-01-05,13.81999969482422,13.93000030517578,13.72000026702881,13.76000022888184,11.25663280487061,24401300,-1.5032214325908129,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3000001907348704,,,,,,,,,,,,,,,,,
2011-01-06,13.81999969482422,14.10000038146973,13.80000019073486,13.89000034332275,11.36298370361328,18942300,0.9447682578379935,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2399997711181605,,,,,,,,,,,,,,,,,
2011-01-07,13.93000030517578,14.02999973297119,13.78999996185303,13.96000003814697,11.42024517059326,10838300,0.5039574736790486,,,,,13.928000259399415,,,,,13.928000259399415,,,,,,,,,,,,,,,,,,0.2599992752075213,,,,,,,,,,,,,,,,,
2011-01-10,13.89000034332275,13.9399995803833,13.68000030517578,13.77000045776367,11.26481437683105,15011300,-1.3610285090552265,1.0980949540829388,,,,13.870000267028809,,,,,13.875333658854167,,,,,,,,,,,,,,,,,,0.2600002288818395,,,,,,,,,,,,,,,,,
2011-01-11,13.86999988555908,14.10000038146973,13.84000015258789,14.07999992370605,11.5184154510498,17290200,2.2512669254676627,1.5958652094250447,,,,13.892000198364258,,,,,13.943555747138129,,,,,,,,,,,,,,,,,,0.2300004959106392,,,,,,,,,,,,,,,,,
2011-01-12,14.17000007629395,14.30000019073486,14.06999969482422,14.26000022888184,11.66566753387451,8612100,1.2784112652779873,1.3308283093279736,,,,13.992000198364256,,,,,14.0490372410527,,,,,,,,,,,,,,,,,,0.14000034332275035,,,,,,,,,,,,,,,,,
2011-01-13,14.27999973297119,14.34000015258789,14.19999980926514,14.23999977111816,11.64930629730225,9322400,-0.14025566229073802,1.3735010652104849,,,,14.06200008392334,,,,,14.112691417741189,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,
2011-01-14,14.64000034332275,15.31999969482422,14.56999969482422,15.31999969482422,12.53281879425049,36689800,7.584269249052493,3.4501843938314845,,,,14.33400001525879,14.131000137329101,,,,14.5151275101022,14.131000137329101,,,,,,,,-0.7832890858321725,-0.7832890858321725,0.0,0.0,0.7832890858321725,-0.7832890858321725,-0.7832890858321725,0.0,0.0,0.3600006103515696,,,,,,,,,,,,,,,,,
2011-01-18,15.26000022888184,15.35000038146973,14.98999977111816,15.19999980926514,12.43464756011963,33814200,-0.7832890858321725,3.319940896089327,2.6647458544698046,,,14.619999885559082,14.245000076293945,,,,14.743418276489848,14.325363714044745,,,,,,,,0.19736666676076756,0.19736666676076756,0.0,0.0,-0.19736666676076756,0.19736666676076756,0.19736666676076756,0.0,0.0,0.2600002288818395,,,,,,,,,,,,,,,,,
2011-01-19,15.14000034332275,15.35000038146973,15.09000015258789,15.22999954223633,12.45919227600098,27347900,0.19736666676076756,3.4127374672288253,2.626877326429383,,,14.849999809265137,14.371000003814697,,,,14.905612031738677,14.489842955534122,,,,14.31166672706604,,,,-1.1162122634881477,-1.1162122634881477,0.0,0.0,1.1162122634881477,-1.1162122634881477,-1.1162122634881477,0.0,0.0,0.519999504089359,,,,,,,,,,,,,,,,,
2011-01-20,15.22999954223633,15.22999954223633,14.71000003814697,15.0600004196167,12.32012462615967,21092300,-1.1162122634881477,3.6347421584314894,2.5901773791056755,,,15.009999847412109,14.501000022888183,,,,14.957074827698019,14.593507949003682,,,,14.426794987458448,,,,-0.33200656933402867,-0.33200656933402867,0.0,0.0,0.33200656933402867,-0.33200656933402867,-0.33200656933402867,0.0,0.0,0.2199993133544904,,,,,,,,,,,,,,,,,
2011-01-21,15.17000007629395,15.1899995803833,14.97000026702881,15.01000022888184,12.27922058105469,12815900,-0.33200656933402867,3.652704801155172,2.620977927435215,,,15.163999938964846,14.613000011444091,,,,14.974716628092626,14.669233818072437,,,,14.516518870754354,,,,2.398398742090217,2.398398742090217,0.0,0.0,-2.398398742090217,2.398398742090217,2.398398742090217,0.0,0.0,0.3999996185302699,,,,,,,,,,,,,,,,,
2011-01-24,15.09000015258789,15.39999961853027,15.0,15.36999988555908,12.57372283935547,14403900,2.398398742090217,1.390542465604827,2.664641392263627,,,15.17399997711182,14.753999996185303,,,,15.106477713914778,14.796645830342733,,,,14.647823642262772,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26999950408935014,,,,,,,,,,,,,,,,,
2011-01-25,15.28999996185303,15.39999961853027,15.13000011444092,15.36999988555908,12.57372283935547,18445600,0.0,1.3118742010592506,2.563621799211971,,,15.207999992370606,14.913999938964844,,,,15.194318437796213,14.90089202220025,,,,14.758927679692974,,,,0.5855572755888598,0.5855572755888598,0.0,0.0,-0.5855572755888598,0.5855572755888598,0.5855572755888598,0.0,0.0,0.2599992752075213,,,,,,,,,,,,,,,,,
2011-01-26,15.35000038146973,15.56999969482422,15.3100004196167,15.46000003814697,12.64734745025635,13248200,0.5855572755888598,1.3209517674868783,2.5369222945022725,,,15.254000091552735,15.051999950408936,,,,15.282878971246467,15.002548025099653,,,,14.866784965608973,,,,4.13971760506845,4.13971760506845,0.0,0.0,-4.13971760506845,4.13971760506845,4.13971760506845,0.0,0.0,0.6999998092651296,,,,,,,,,,,,,,,,,
