Date_SNPS_L01d,Open_SNPS_L01d,High_SNPS_L01d,Low_SNPS_L01d,Close_SNPS_L01d,Adj Close_SNPS_L01d,Volume_SNPS_L01d,Daily_Return_SNPS_L01d,Vol5_SNPS_L01d,Vol10_SNPS_L01d,Vol20_SNPS_L01d,Vol60_SNPS_L01d,SMA5_SNPS_L01d,SMA10_SNPS_L01d,SMA30_SNPS_L01d,SMA60_SNPS_L01d,SMA100_SNPS_L01d,EMA5_SNPS_L01d,EMA10_SNPS_L01d,EMA30_SNPS_L01d,EMA60_SNPS_L01d,EMA100_SNPS_L01d,Short12_SNPS_L01d,Long26_SNPS_L01d,MACD_SNPS_L01d,SIGNAL9_SNPS_L01d,Ret5/10_SNPS_L01d,Ret10/30_SNPS_L01d,Ret30/60_SNPS_L01d,Ret30/100_SNPS_L01d,Emaret5/10_SNPS_L01d,Emaret10/30_SNPS_L01d,Emaret30/60_SNPS_L01d,Emaret30/100_SNPS_L01d,RetMACD_SNPS_L01d,DayRange_SNPS_L01d,average20r_SNPS_L01d,PRVHI_SNPS_L01d,HitLevel_SNPS_L01d,hitlevel_2_SNPS_L01d,hitlevel_1.8_SNPS_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-03,496.4599914550781,496.6099853515625,489.4100036621094,492.3999938964844,492.3999938964844,1205300.0,-1.3167138922471455,1.2058038904131445,2.126848488392885,2.1320430252208022,1.6880870932378462,508.3579833984375,525.6829956054687,539.1473388671875,514.9485056559245,489.2912030029297,507.29702406278886,519.5106382975835,528.0129257026459,514.9207173765138,496.0980236922077,522.5846407942608,528.7529743277514,-6.168333533490568,1.818506368050719,0.4508532185664254,0.4508532185664254,-0.4508532185664254,-0.4508532185664254,0.4508532185664254,0.4508532185664254,0.4508532185664254,-0.4508532185664254,0.4508532185664254,5.960021972656307,12.153501892089844,496.6099853515625,482.05939422607423,484.5539947509766,487.0485952758789,0.0,0.9670428521526045,1.3167138922471455,-1.0,1.3167138922471455,0.9764901556687691,-1.0,1.3167138922471455,0.9975635872416885,-1.0,-1.3167138922471455,0.0,2.0,0.0,0.023671551,0.0167448519999999,0.26293844,0.200687878,,1
2024-01-04,489.75,494.3900146484375,488.4299926757812,490.1799926757812,490.1799926757812,884200.0,-0.4508532185664254,1.2006489235788784,2.1137003289443186,2.1130858768309144,1.6803564374883757,502.7739868164063,518.8359924316406,537.4360046386719,515.1195053100586,489.9084030151368,501.5913469337863,514.1777936390739,525.5720913138159,514.1095460748504,495.9808349592092,517.5993103144947,525.8957164276055,-8.296406113110834,-0.2044761281815916,1.0955149531652246,1.0955149531652246,-1.0955149531652246,-1.0955149531652246,1.0955149531652246,1.0955149531652246,1.0955149531652246,-1.0955149531652246,1.0955149531652246,18.5,12.394001770019532,494.3900146484375,469.8722811889649,472.3029815673828,474.7336819458008,0.0,0.9690422294337057,0.4508532185664254,-1.0,0.4508532185664254,0.9755212168611804,-1.0,0.4508532185664254,1.0002907842601862,1.0,0.4508532185664254,1.0,0.0,0.0,0.991889656,0.991889656,0.007093016,0.007093016,-0.4508532185664254,1
2024-01-05,492.0299987792969,496.1499938964844,477.6499938964844,484.8099975585938,484.8099975585938,3013100.0,-1.0955149531652246,1.078673107343503,2.114485006364656,2.103175988499021,1.6643257841564176,496.2539916992188,512.1449951171875,535.583671061198,515.0311721801758,490.4080029296875,495.9975638087222,508.83819435171387,522.942278813479,513.1489051398911,495.75963025820687,512.5548006597407,522.8523298447158,-10.29752918497502,-2.2230867395402774,-3.129063654653879,-3.129063654653879,3.129063654653879,3.129063654653879,-3.129063654653879,-3.129063654653879,-3.129063654653879,3.129063654653879,-3.129063654653879,12.330017089843691,12.705000305175778,496.1499938964844,467.1232107543945,469.6020111083984,472.0808114624023,1.0,0.9689716709731147,1.0955149531652246,-1.0,1.0955149531652246,0.9747648060119557,-1.0,1.0955149531652246,1.0053771143867547,1.0,-1.0955149531652246,1.0,1.0,0.0,0.97246176,0.490641467,0.085128561,0.052000644,-1.0955149531652246,1
2024-01-08,490.3900146484375,500.3900146484375,488.0599975585938,499.9800109863281,499.9800109863281,1829000.0,3.129063654653879,2.2863726325083404,2.3959720696062647,2.219033597521138,1.708338680359779,493.26799926757815,506.14699401855466,534.2153371175131,515.1150054931641,491.040403137207,497.3250462012575,507.22761555800736,521.4608421794693,512.7171381184628,495.84320215381325,510.6202176330619,521.1580840033537,-10.537866370291797,-3.886042665690581,-0.3780119383434823,-0.3780119383434823,0.3780119383434823,0.3780119383434823,-0.3780119383434823,-0.3780119383434823,-0.3780119383434823,0.3780119383434823,-0.3780119383434823,8.839996337890625,12.744000244140622,500.3900146484375,468.1989932250976,470.7399932861328,473.280993347168,1.0,0.9745548330758151,-3.129063654653879,-1.0,-3.129063654653879,0.9804770697552501,-1.0,-3.129063654653879,1.0797367251594492,1.0,3.129063654653879,0.0,1.0,1.0,0.006640702,0.004131343,0.994263589,0.6854508515,3.129063654653879,1
2024-01-09,495.0,503.8399963378906,495.0,501.8699951171875,501.8699951171875,1171500.0,0.3780119383434823,1.801953381656936,1.55939434920459,2.219735288193843,1.7086774185265765,493.847998046875,503.8879913330078,532.8546702067057,515.2090052286784,491.7770031738281,498.8400291732342,506.2535027505856,520.1969165625479,512.3614940856341,495.96254458873153,509.2740295536966,519.7293366784525,-10.455307124755848,-5.199895557503634,-0.6595328652434786,-0.6595328652434786,0.6595328652434786,0.6595328652434786,-0.6595328652434786,-0.6595328652434786,-0.6595328652434786,0.6595328652434786,-0.6595328652434786,7.549987792968807,12.183001708984374,503.8399963378906,472.35321411132816,474.9020141601562,477.4508142089844,1.0,0.9800749502690617,-0.3780119383434823,-1.0,-0.3780119383434823,0.985356202896232,-1.0,-0.3780119383434823,0.7025136544427512,-1.0,0.3780119383434823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3780119383434823,-1
2024-01-10,503.8200073242188,509.0,501.4500122070312,505.1799926757812,505.1799926757812,1277600.0,0.6595328652434786,1.6123899796756302,1.5886772544569654,2.021521375455164,1.701171013435222,496.4039978027344,502.380990600586,531.5763356526693,515.4675048828125,492.5878030395508,500.9533503407499,506.0583191006211,519.2280827634017,512.126035023016,496.1450683132276,508.644177726325,518.6516074930694,-10.007429766744394,-6.161402399351786,1.3302191927889528,1.3302191927889528,-1.3302191927889528,-1.3302191927889528,1.3302191927889528,1.3302191927889528,1.3302191927889528,-1.3302191927889528,1.3302191927889528,16.559997558593807,12.372000122070316,509.0,477.037392578125,479.4739929199219,481.9105932617188,0.0,0.9881026692695791,-0.6595328652434786,-1.0,-0.6595328652434786,0.9899122915933013,-1.0,-0.6595328652434786,0.7858819964737004,-1.0,-0.6595328652434786,0.0,0.0,1.0,0.002312011,0.002312011,0.994229436,0.994229436,-0.6595328652434786,1
2024-01-11,507.5,509.739990234375,493.1799926757812,498.4599914550781,498.4599914550781,1483800.0,-1.3302191927889528,1.784126075980839,1.6231719641251443,1.9450511820079888,1.709794793709622,498.05999755859375,500.4169921875,530.0673360188802,515.5758382161458,493.3122030639648,500.12223071219273,504.6768049832496,517.8882059048003,511.6779680207885,496.1909083754424,507.0773798384408,517.155932230996,-10.07855239255514,-6.944832397992457,0.814508210928227,0.814508210928227,-0.814508210928227,-0.814508210928227,0.814508210928227,0.814508210928227,0.814508210928227,-0.814508210928227,0.814508210928227,9.489990234375,12.255999755859378,509.739990234375,481.7815997314453,484.25599975585936,486.73039978027344,0.0,0.995289938859584,1.3302191927889528,-1.0,1.3302191927889528,0.9909752653062626,-1.0,1.3302191927889528,0.8345137542599008,-1.0,1.3302191927889528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3302191927889528,1
2024-01-12,501.2999877929688,502.6799926757812,493.1900024414062,494.3999938964844,494.3999938964844,1107600.0,-0.814508210928227,1.7309117617275882,1.6262427793545895,1.9360606901475843,1.713320893787584,499.9779968261719,498.1159942626953,528.1320017496745,515.6150049845378,493.8915029907226,498.21481844029,502.808293876565,516.3728373881348,511.11147706589327,496.1554447223937,505.1270127704476,515.4703071691803,-10.343294398732723,-7.624524798140511,3.090614677979969,-3.090614677979969,3.090614677979969,3.090614677979969,-3.090614677979969,-3.090614677979969,-3.090614677979969,3.090614677979969,-3.090614677979969,17.470001220703125,11.98700103759766,502.6799926757812,482.77679077148434,485.2279907226563,487.67919067382815,1.0,1.0037380902940742,0.814508210928227,1.0,0.814508210928227,0.990864360249788,-1.0,0.814508210928227,0.8399751038954375,-1.0,0.814508210928227,0.0,0.0,1.0,0.012752245,0.012752245,0.524500549,0.524500549,-0.814508210928227,1
2024-01-16,501.5199890136719,517.25,499.7799987792969,509.6799926757812,509.6799926757812,3495800.0,3.090614677979969,1.715800241771796,1.9720971615085168,2.032556381104988,1.7494735906394785,501.9179931640625,497.59299621582034,527.0136688232421,516.0141713460287,494.6244027709961,502.03654318545375,504.0576936582406,515.9410409550798,511.06454315146334,496.42325755315386,505.827471217422,515.041394984484,-9.213923767062,-7.942404591924809,-0.3551243102738531,0.3551243102738531,-0.3551243102738531,-0.3551243102738531,0.3551243102738531,0.3551243102738531,0.3551243102738531,-0.3551243102738531,0.3551243102738531,18.220001220703125,12.39350280761719,517.25,476.3085903930663,478.7059906005859,481.1033908081054,0.0,1.0086918364630002,-3.090614677979969,1.0,3.090614677979969,0.9959902398114029,-1.0,-3.090614677979969,0.9702545916273166,-1.0,-3.090614677979969,0.0,1.0,3.0,0.099318095,0.0469020816666666,0.89339906,0.798101147,3.090614677979969,1
2024-01-17,511.9800109863281,514.25,496.0299987792969,507.8699951171875,507.8699951171875,1821400.0,-0.3551243102738531,1.7488035022725812,1.6752498641107345,2.0113331089830506,1.7474450038947174,503.1179931640625,498.4829956054688,525.7440012613932,516.4391713460286,495.2207028198242,503.9810271626984,504.75083937804914,515.420328320377,510.959803871651,496.6499256237288,506.14170566353977,514.5101801794991,-8.368474515959349,-8.027618576731719,-2.664067361604011,2.664067361604011,-2.664067361604011,-2.664067361604011,2.664067361604011,2.664067361604011,2.664067361604011,-2.664067361604011,2.664067361604011,23.42001342773437,13.143504333496097,514.25,489.9842938232422,492.4629943847656,494.941694946289,0.0,1.0092982059557798,0.3551243102738531,1.0,-0.3551243102738531,0.9984748668941308,-1.0,0.3551243102738531,0.8329052291878977,-1.0,0.3551243102738531,0.0,0.0,1.0,0.001511064,0.001511064,0.997302532,0.997302532,-0.3551243102738531,1
