Date_AMAT_L01d,Open_AMAT_L01d,High_AMAT_L01d,Low_AMAT_L01d,Close_AMAT_L01d,Adj Close_AMAT_L01d,Volume_AMAT_L01d,Daily_Return_AMAT_L01d,Vol5_AMAT_L01d,Vol10_AMAT_L01d,Vol20_AMAT_L01d,Vol60_AMAT_L01d,SMA5_AMAT_L01d,SMA10_AMAT_L01d,SMA30_AMAT_L01d,SMA60_AMAT_L01d,SMA100_AMAT_L01d,EMA5_AMAT_L01d,EMA10_AMAT_L01d,EMA30_AMAT_L01d,EMA60_AMAT_L01d,EMA100_AMAT_L01d,Short12_AMAT_L01d,Long26_AMAT_L01d,MACD_AMAT_L01d,SIGNAL9_AMAT_L01d,Ret5/10_AMAT_L01d,Ret10/30_AMAT_L01d,Ret30/60_AMAT_L01d,Ret30/100_AMAT_L01d,Emaret5/10_AMAT_L01d,Emaret10/30_AMAT_L01d,Emaret30/60_AMAT_L01d,Emaret30/100_AMAT_L01d,RetMACD_AMAT_L01d,DayRange_AMAT_L01d,average20r_AMAT_L01d,PRVHI_AMAT_L01d,HitLevel_AMAT_L01d,hitlevel_2_AMAT_L01d,hitlevel_1.8_AMAT_L01d,positive_return_dummy,sma_ratio_L01d,RetMACD_L01d,R_sma_ratio_L01d,ret_sma_ratio_L01d,ema_ratio_L01d,R_ema_ratio_L01d,ret_ema_ratio_L01d,volatility_ratio_L01d,R_vol_ratio_L01d,ret_vol_ratio_L01d,negative_L01d,neutral_L01d,positive_L01d,negative_max_L01d,negative_avg_L01d,positive_max_L01d,positive_avg_L01d,ret_best,best
2024-01-03,151.7100067138672,153.1699981689453,150.7299957275391,151.4499969482422,151.4499969482422,6100100.0,-1.891558114469488,1.8861698415675128,2.280691886960732,2.2522532163758404,2.021615550106162,159.04400024414062,160.21900024414063,154.73533325195314,147.77883224487306,145.75069946289062,157.0292526573035,158.4127341160142,155.11107273434962,150.65827293432625,146.68795272323507,158.34626221155838,155.89643492813397,2.449827283424412,3.5693546359664508,1.4130072187322145,-1.4130072187322145,-1.4130072187322145,-1.4130072187322145,1.4130072187322145,1.4130072187322145,-1.4130072187322145,-1.4130072187322145,1.4130072187322145,3.25,3.515998840332044,153.1699981689453,152.4848031616211,153.1780029296875,153.87120269775392,0.0,1.0470737310709899,1.891558114469488,1.0,-1.891558114469488,1.0574220299263903,1.0,-1.891558114469488,1.012626764334542,1.0,1.891558114469488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
2024-01-04,149.8000030517578,152.0,148.75,149.3099975585938,149.3099975585938,6196100.0,-1.4130072187322145,1.6932545522808853,2.203971738599375,2.251642949078533,2.0314263515747597,156.06399841308593,158.91699981689453,154.6266662597656,147.93149897257487,145.855499420166,154.45616762440028,156.7576911055741,154.73680981978472,150.61406718430223,146.73987440314318,156.95606764956383,155.4085506785384,1.5475169710254306,3.164987102978247,0.2076200948782109,-0.2076200948782109,-0.2076200948782109,-0.2076200948782109,0.2076200948782109,0.2076200948782109,-0.2076200948782109,-0.2076200948782109,0.2076200948782109,3.4700012207030966,3.487998962402353,152.0,145.4348007202148,146.13800048828122,146.84120025634763,0.0,1.0452585644956653,1.4130072187322145,1.0,-1.4130072187322145,1.0544973576484828,1.0,-1.4130072187322145,0.9788282549421671,-1.0,-1.4130072187322145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4130072187322145,1
2024-01-05,150.0800018310547,151.5200042724609,148.0500030517578,149.0,149.0,5398900.0,-0.2076200948782109,1.7845013953450424,2.020520334516996,2.237837159516686,2.029357525283063,153.23999938964846,158.125,154.6183329264323,148.0581657409668,145.92659942626952,152.63744508293354,155.34720181365154,154.366693057218,150.56114694875131,146.78462936545716,155.73205724193863,154.9338432208689,0.7982140210697253,2.691632486596543,-1.7181191668414812,1.7181191668414812,1.7181191668414812,1.7181191668414812,-1.7181191668414812,-1.7181191668414812,1.7181191668414812,1.7181191668414812,-1.7181191668414812,3.069992065429716,3.442999267578139,151.5200042724609,144.3264022827148,145.02400207519528,145.72160186767576,1.0,1.0443080403747722,0.2076200948782109,1.0,-0.2076200948782109,1.051654343677112,1.0,-0.2076200948782109,0.9028897951419198,-1.0,0.2076200948782109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2076200948782109,1
2024-01-08,149.8300018310547,152.7899932861328,149.7200012207031,151.5599975585938,151.5599975585938,6515500.0,1.7181191668414812,2.3756222667460536,1.835645466504056,2.198660328719034,2.0392471594339385,151.13799743652345,157.14199981689453,154.6876663208008,148.21449915568033,146.04139938354493,152.27829590815364,154.65861922182285,154.1856159282745,150.59389614907403,146.8791911118559,155.09020190603945,154.68392872736706,0.4062731786723645,2.2345606250117074,0.3496956900464473,-0.3496956900464473,-0.3496956900464473,-0.3496956900464473,0.3496956900464473,0.3496956900464473,-0.3496956900464473,-0.3496956900464473,0.3496956900464473,2.760009765625,3.440000152587904,152.7899932861328,143.945405883789,144.63400573730462,145.32260559082025,0.0,1.0436743179783055,-1.7181191668414812,1.0,1.7181191668414812,1.0497444516211585,1.0,1.7181191668414812,0.8348927037645352,-1.0,-1.7181191668414812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7181191668414812,1
2024-01-09,149.8699951171875,151.6900024414062,148.9299926757812,151.0299987792969,151.0299987792969,5606700.0,-0.3496956900464473,1.3939839571128254,1.8042159761134744,2.1973636988189336,2.025446492509712,150.46999816894532,156.03999938964844,154.71066640218103,148.31499913533528,146.1691993713379,151.86219686520138,153.99887005045449,153.98202772511465,150.60819459596655,146.96138532309237,154.46555527115595,154.41326724973223,0.0522880214237204,1.7981061042941102,0.8077873472580162,-0.8077873472580162,-0.8077873472580162,-0.8077873472580162,0.8077873472580162,0.8077873472580162,-0.8077873472580162,-0.8077873472580162,0.8077873472580162,3.659988403320313,3.296999359130869,151.6900024414062,145.2219929504394,145.909992980957,146.5979930114746,0.0,1.043122187938725,0.3496956900464473,1.0,-0.3496956900464473,1.0477720211100863,1.0,-0.3496956900464473,0.8210820889974777,-1.0,0.3496956900464473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3496956900464473,1
2024-01-10,151.7700042724609,151.8999938964844,148.2400054931641,149.8099975585938,149.8099975585938,5035700.0,-0.8077873472580162,1.1770429248140428,1.6525566895267307,1.8781543480300589,1.9967147633793605,150.14199829101568,154.59299926757814,154.67733306884764,148.4594991048177,146.29139938354493,151.17813042966554,153.23725687011617,153.71286448856492,150.5820242012986,147.0177934861716,153.74931562306946,154.0722843096479,-0.3229686865784344,1.3738911461196015,-1.4284756855505472,-1.4284756855505472,1.4284756855505472,1.4284756855505472,-1.4284756855505472,-1.4284756855505472,-1.4284756855505472,1.4284756855505472,-1.4284756855505472,3.9600067138671022,3.3180000305175854,151.8999938964844,144.43660385131827,145.09600372314446,145.75540359497063,1.0,1.041882358498596,0.8077873472580162,1.0,-0.8077873472580162,1.0455391884453977,1.0,-0.8077873472580162,0.8798833233594721,-1.0,0.8077873472580162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8077873472580162,1
2024-01-11,150.25,152.4400024414062,148.4799957275391,151.9499969482422,151.9499969482422,5995600.0,1.4284756855505472,1.1375024487519485,1.7970425227271207,1.8819378276368537,2.0036129266933287,150.66999816894537,153.36699829101562,154.80699971516927,148.6419990539551,146.38429931640624,151.4354192691911,153.0032096115936,153.59913109886668,150.62687576677214,147.11546088146014,153.47249736540374,153.9150778384327,-0.4425804730289258,1.010596822289896,0.4606758554135564,0.4606758554135564,-0.4606758554135564,-0.4606758554135564,0.4606758554135564,0.4606758554135564,0.4606758554135564,-0.4606758554135564,0.4606758554135564,2.0299987792969034,3.2319999694824304,152.4400024414062,144.6003938293457,145.26399383544924,145.92759384155275,0.0,1.0414754961615953,-1.4284756855505472,1.0,1.4284756855505472,1.0440719838592003,1.0,1.4284756855505472,0.9548894210727802,-1.0,-1.4284756855505472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4284756855505472,1
2024-01-12,152.1999969482422,152.3999938964844,150.3699951171875,151.25,151.25,4083200.0,-0.4606758554135564,1.1739125475200938,1.7993740288266311,1.883188171387829,2.000068626555288,151.11999816894536,152.1799987792969,154.86999969482423,148.7841657002767,146.40909927368165,151.3736128461274,152.68444422766748,153.4475742537785,150.64730606950093,147.19733294321338,153.13057469380317,153.71766466521544,-0.5870899714122686,0.6910594635494631,-1.659500500387378,-1.659500500387378,1.659500500387378,1.659500500387378,-1.659500500387378,-1.659500500387378,-1.659500500387378,1.659500500387378,-1.659500500387378,4.400009155273494,3.1845008850097742,152.3999938964844,145.32960250854484,145.97600250244133,146.62240249633783,1.0,1.0409037747122052,0.4606758554135564,1.0,-0.4606758554135564,1.0424616478137982,1.0,-0.4606758554135564,0.9554934850193806,-1.0,0.4606758554135564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4606758554135564,1
2024-01-16,151.3000030517578,154.2400054931641,149.8399963378906,153.7599945068359,153.7599945068359,6528000.0,1.659500500387378,1.156443020396338,1.9535627774692077,1.7833365135948238,2.005399533448131,151.55999755859378,151.3489974975586,155.0026662190755,148.98933232625325,146.46819915771485,152.1690733996969,152.8799988238799,153.46773039913705,150.74936142810205,147.32728663754256,153.2274085111928,153.72080020903917,-0.4933916978463628,0.4541692312702979,-0.2536416516528103,0.2536416516528103,-0.2536416516528103,-0.2536416516528103,0.2536416516528103,0.2536416516528103,0.2536416516528103,-0.2536416516528103,0.2536416516528103,3.5500030517578125,3.22600097656251,154.2400054931641,145.3940919494629,146.03099212646487,146.6678923034668,0.0,1.0403608352284874,-1.659500500387378,1.0,1.659500500387378,1.0416789306430474,1.0,1.659500500387378,1.0954538095175566,1.0,-1.659500500387378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.659500500387378,1
2024-01-17,153.1100006103516,153.75,150.1999969482422,153.3699951171875,153.3699951171875,6630600.0,-0.2536416516528103,1.1438062356847805,1.2641234916501565,1.781240669332922,1.8903999524902129,152.0279968261719,151.2489974975586,155.06199951171874,149.30499903361002,146.5218991088867,152.56938063886045,152.96908905902674,153.4614248970758,150.83528384413762,147.4469442311989,153.24934491211508,153.6948146466798,-0.4454697345647105,0.2742414381032962,4.544566370610779,-4.544566370610779,4.544566370610779,4.544566370610779,-4.544566370610779,-4.544566370610779,-4.544566370610779,4.544566370610779,-4.544566370610779,3.960006713867188,3.243000793457044,153.75,147.14280334472656,147.78800354003909,148.43320373535158,1.0,1.0385586585537754,0.2536416516528103,1.0,-0.2536416516528103,1.0407908125681202,1.0,-0.2536416516528103,0.7096870812654268,-1.0,-0.2536416516528103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2536416516528103,1
2024-01-18,158.6600036621094,160.7400054931641,156.7799987792969,160.3399963378906,160.3399963378906,8133700.0,4.544566370610779,2.009462425378905,1.7656811896198124,2.068326165402049,1.9692339822031693,154.13399658203124,152.13799743652345,155.4643325805664,149.74199905395508,146.700099029541,155.1595858718705,154.30925401882016,153.90520369970903,151.14691376196558,147.70225219370764,154.34021436223438,154.1870503275102,0.1531640347241705,0.2500259574274711,4.739931568602392,-4.739931568602392,4.739931568602392,4.739931568602392,-4.739931568602392,4.739931568602392,4.739931568602392,4.739931568602392,-4.739931568602392,5.979995727539091,3.4065010070800894,160.7400054931641,146.6153982543945,147.26399841308591,147.91259857177732,1.0,1.0382146195640773,-4.544566370610779,1.0,4.544566370610779,1.0419963231018738,1.0,4.544566370610779,0.8536763781048009,-1.0,-4.544566370610779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.544566370610779,1
2024-01-19,162.5700073242188,168.2799987792969,162.3000030517578,167.9400024414062,167.9400024414062,9157600.0,4.739931568602392,2.511038560916051,2.04216921700704,2.311117963840691,2.049969221657832,157.33199768066407,154.00099792480472,156.19066619873047,150.3038324991862,146.93589904785156,159.4197247283824,156.7875719138358,154.81067458627015,151.69750683342264,148.10299972336503,156.43248945133772,155.20578752113212,1.2267019302055928,0.4453611519830955,0.2143626325581498,-0.2143626325581498,0.2143626325581498,0.2143626325581498,-0.2143626325581498,0.2143626325581498,0.2143626325581498,0.2143626325581498,0.2143626325581498,4.270004272460994,3.3615013122558737,168.2799987792969,153.2457032775879,153.9270034790039,154.60830368041994,1.0,1.0391662248504285,-4.739931568602392,1.0,4.739931568602392,1.0452906077218833,1.0,4.739931568602392,0.8836282911380674,-1.0,-4.739931568602392,0.0,1.0,0.0,0.001776802,0.001776802,0.002935795,0.002935795,4.739931568602392,1
